len,pattern,count
2,OI,21000
3,OAI,21000
4,OIOI,21000
5,OIOIA,21000
6,OIOAIA,9870
6,OIOIOI,8255
6,OIAOIA,1987
6,OAIOIA,865
6,OIOIAA,23
7,OAIOIOI,6978
7,OAIOAIA,3619
7,OIOAAIA,2594
7,OIOAIAA,2482
7,OIAOAIA,1476
7,OIOAIOI,1202
7,OAIAOIA,949
7,OIOIAOI,681
7,OIAOIOI,512
7,OIOIOIA,331
7,OIAOIAA,142
7,OIOIOAI,25
7,OAIOIAA,8
7,OAAIOIA,1
8,OAIOAIOI,8846
8,OIOAIOIA,1565
8,OAIOAAIA,1077
8,OIOIOIOI,1026
8,OAIOAIAA,958
8,OAIAOAIA,935
8,OAAIAOIA,917
8,OIOAAIAA,630
8,OIOIOAIA,566
8,OAIOIOIA,486
8,OIAOAIAA,482
8,OIAOAAIA,460
8,OIAOIAOI,443
8,OAIOIAOI,432
8,OIOAAAIA,418
8,OIOAIAAA,413
8,OAIOIOAI,337
8,OIAOAIOI,336
8,OAIAOIOI,140
8,OIAOIOIA,132
8,OIOIAOIA,131
8,OAAIOIOI,67
8,OIOIAOAI,55
8,OIOAAIOI,39
8,OIOAIAOI,35
8,OIOIOIAA,21
8,OAAIOAIA,20
8,OIOAIOAI,12
8,OIAAOAIA,10
8,OAIAOIAA,5
8,OIAAOIAA,3
8,OIAOIOAI,3
9,OIOIOAIOI,4194
9,OAIOIOIOI,1649
9,OAIOAIOIA,1543
9,OAIOAIAOI,1489
9,OAIOAAIOI,1074
9,OAIOAIOAI,956
9,OAAIAOAIA,899
9,OAAAIAOIA,896
9,OAIAOAIOI,883
9,OIOAIOAIA,583
9,OAAIOAIOI,575
9,OIOAIAOIA,530
9,OAIAOAAIA,460
9,OAIAOAIAA,456
9,OIAOIOIOI,432
9,OIAOAIOIA,397
9,OIOAAIOIA,351
9,OIOAIOIAA,331
9,OIOIOIAOI,328
9,OAIOIAOIA,315
9,OIOIOIOIA,277
9,OIAOAAIAA,223
9,OAIOIAOAI,200
9,OIAOAIAAA,144
9,OIAOAAAIA,139
9,OAIOAAIAA,134
9,OAIOAAAIA,109
9,OAIAOIOIA,107
9,OAAIAOIOI,104
9,OIOAAIAAA,89
9,OIAOIAOIA,80
9,OIOIOIOAI,78
9,OAIOAIAAA,76
9,OIAOAIAOI,75
9,OIOIOAIAA,73
9,OIOAAAIAA,67
9,OIOAIOIOI,63
9,OAIOIOAIA,61
9,OIAOAAIOI,55
9,OIOAAAAIA,48
9,OAIAOIAOI,44
9,OAAIOIOIA,38
9,OIAOIAOAI,36
9,OIOAIAAAA,35
9,OIOAAIAOI,34
9,OIOIAOAIA,34
9,OIOIAOIOI,32
9,OIAOIOAIA,23
9,OAAIOIOAI,21
9,OAIAOIOAI,20
9,OIAOAIOAI,19
9,OIOAIAAOI,19
9,OIAAOIOIA,17
9,OIOIOAAIA,17
9,OIOAAAIOI,15
9,OIAAOIAOI,11
9,OAAIOAIAA,8
9,OIAAOAIOI,5
9,OIAOIOIAA,5
9,OAAIOAAIA,4
9,OAAIOIAOI,4
9,OIAAOAIAA,4
9,OIAOIAAOI,3
9,OIOAIAOAI,3
9,OAIOIOIAA,2
9,OIOAAIOAI,2
9,OIOIAAOIA,2
10,OIOIOIOIOI,3364
10,OAIAOAIOIA,878
10,OAAAAIAOIA,862
10,OAAAIAOAIA,854
10,OAIOIOIOAI,849
10,OAIOIOIOIA,837
10,OAIAOAIAOI,778
10,OIOIOAIOIA,601
10,OAIOAIOIOI,585
10,OIOIOAIAOI,565
10,OIOAIOAIOI,515
10,OAAIOAIAOI,514
10,OAIAOAAIOI,466
10,OAAIAOAAIA,435
10,OAAIAOAIAA,429
10,OIOIAOAIOI,416
10,OIOIOAAIOI,404
10,OAAIOAAIOI,384
10,OAAIOAIOAI,341
10,OAIAOAIOAI,328
10,OAAIOAIOIA,318
10,OIOIOAIOAI,295
10,OAIOAIOAIA,277
10,OAIOAIAOIA,264
10,OIOAIAOAIA,261
10,OAIAOIOIOI,257
10,OAIAOAAIAA,244
10,OIAOAIAOIA,241
10,OIOIOIAOIA,233
10,OIAOAIOAIA,232
10,OIOAIOIOIA,184
10,OAIOAIOIAA,156
10,OIAOAAIOIA,155
10,OAIOIOAIOI,153
10,OAAIAOAIOI,150
10,OAIAOAAAIA,150
10,OIAOAIOIAA,149
10,OAIAOAIAAA,148
10,OAAAIAOIOI,138
10,OAIOAAIOIA,134
10,OIOAIAOIAA,119
10,OIAOIOIOIA,117
10,OIOAAIOAIA,108
10,OIOIOIAOAI,102
10,OAIOIOIAOI,90
10,OAIOAAIAOI,89
10,OAIOAIAAOI,88
10,OIOAIOAAIA,86
10,OIAOAIOIOI,84
10,OAAIOIOIOI,78
10,OIAOIOAIOI,70
10,OIAOIOIOAI,66
10,OIOAIOAIAA,65
10,OIOAIAAOIA,64
10,OIAOAAIAAA,57
10,OAIAOIAOIA,54
10,OAIOAIAOAI,53
10,OIAOIOIAOI,53
10,OIOAAIAOIA,53
10,OIOAAIOIAA,46
10,OIAOAAAIAA,42
10,OAIOIAOAIA,39
10,OAIOIAOIOI,38
10,OIAOAAIAOI,36
10,OAAIOIAOIA,34
10,OAIOAAIOAI,33
10,OIAAOIOIOI,30
10,OAIOAAAIOI,29
10,OAIAOIAOAI,26
10,OAIOAAIAAA,26
10,OAIOIOAIAA,26
10,OIOAAAIOIA,26
10,OIAOAAAAIA,25
10,OIOAIAOIOI,25
10,OIOIAOIAOI,25
10,OIOIAOIOIA,25
10,OIOAIOIAOI,24
10,OIOIOIOIAA,24
10,OIOAAIOIOI,23
10,OAAIOIAOAI,22
10,OIAOAIAAOI,22
10,OIAOAAAIOI,19
10,OIAOAIAAAA,18
10,OIAOIOAIAA,17
10,OIOAIOIAAA,16
10,OAIOAAAIAA,15
10,OIOIAOAIAA,14
10,OIAOIAOIOI,13
10,OIOIOIOAIA,13
10,OAAIOAAAIA,12
